"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"40079",8199054,8189000287,"FJB4575","2016-02-25",20,"NISSA",21630,0,0,"0423P","E","RD",2,"Brighton 1st St80ft S/of Neptune Av",NA,"E Brighton 1st St New York, NY",40.5780088,-73.9668113
"40080",612474,7327947309,"56985MB","2015-06-29",17,"CHEVR",6740,0,0,"0259P","E","WHITE",6,"21st St60ft N/of 46th Rd",NA,"E 21st St New York, NY",40.7379132,-73.9849673
"40081",6908167,7035908286,"FMD1418","2016-01-27",38,"NISSA",5580,10480,10530,"0201P","7826","GREY",1,"5th Ave",NA,"7826 5th Ave New York, NY",40.7644781,-73.9729109
"40082",5539356,8041220435,"67094JY","2015-12-23",37,"FORD",45590,18730,18750,"0937A","1661","WH",12,"York Ave",NA,"1661 York Ave New York, NY",40.776933,-73.9467169
"40083",8081333,8041470105,"DGE3174","2016-03-09",40,"ME/BE",45590,18630,18650,"1114A","1549","BLACK",3,"York Ave",NA,"1549 York Ave New York, NY",40.7735553,-73.9492014
"40084",8826359,7086210330,"92613JU","2016-04-15",21,"WORKH",21790,0,0,"0911A","E","BROWN",4,"Greenwich St6ft S/of Vandam St",NA,"E Greenwich St New York, NY",40.7221373,-74.0097722
"40085",2660445,8031531730,"63052JM","2015-09-21",17,"GMC",17850,10210,10110,"1009A","210","BROWN",9,"E 43rd St",NA,"210 E 43rd St New York, NY",40.7510848,-73.9733698
"40086",1166794,7069927290,"EKK2141","2015-09-03",46,"LEXUS",35080,14330,14380,"0130P","1686","GY",9,"E 7th St",NA,"1686 E 7th St New York, NY",40.6097227,-73.9665979
"40087",1244318,7291998440,"9AVAA3","2015-09-21",38,"SUBAR",18890,0,0,"0534P","N","BLACK",9,"E 96th St143ft E/of Lexington",NA,"N E 96th St New York, NY",40.7851192,-73.9491369
"40088",7345013,7034930119,"HES2813","2016-03-10",21,"CHRYS",0,0,0,"0818A","N","GY",3,"E 174th St0ft E/of Eastburn Av",NA,"N E 174th St New York, NY",40.8373589,-73.8876616
"40089",129782,7061072568,"PPJ3172","2015-07-18",31,"FORD",10810,34490,34510,"1109A","520","BLUE",7,"8th Ave",NA,"520 8th Ave New York, NY",40.753645,-73.9919341
"40090",3224910,4610066531,"EDT7723","2015-09-25",36,"HONDA",0,0,0,"0336P","","GY",9,"SB SPRINGFIELD BLVD"," HOLLIS AVE"," SB SPRINGFIELD BLVD New York, NY",40.7073529,-73.7390612
"40091",7059848,7912159642,"16226TC","2016-02-23",18,"PETER",10010,17250,17270,"0334P","233","WH",2,"1st Ave",NA,"233 1st Ave New York, NY",40.7311919,-73.9829735
"40092",6675792,7902957707,"GMD1234","2016-02-18",71,"ME/BE",34530,11720,11110,"0407P","537","WH",2,"W 38th St",NA,"537 W 38th St New York, NY",40.7580234,-73.9989069
"40093",10237833,7035747953,"EHK6173","2016-06-20",40,"ME/BE",6730,0,0,"0611P","S","GY",6,"16th St15ft E/of 7th Ave",NA,"S 16th St New York, NY",40.732853,-73.678808
"40094",6192680,7450326784,"BDG6312","2015-12-30",37,"BUICK",33990,60790,35290,"0508P","212","TN",12,"Beach 116th St",NA,"212 Beach 116th St New York, NY",40.5799123,-73.8371565
"40095",16626,1381061254,"GFS9495","2015-06-20",46,"NISSA",67530,40230,44430,"0215P","1160","WHITE",6,"OCEAN AVE",NA,"1160 OCEAN AVE New York, NY",40.6342697,-73.9582118
"40096",9739250,7279585929,"68047MD","2016-05-02",38,"FORD",26990,12810,14010,"0132P","76","WH",5,"Mulberry St",NA,"76 Mulberry St New York, NY",40.7162675,-73.9989041
"40097",1883685,7640765365,"GXV6622","2015-08-22",60,"HONDA",26040,0,0,"0752A","W","GY",8,"204th St125ft S/of Jamaica A",NA,"W 204th St New York, NY",40.8650996,-73.9218805
"40098",2198922,8031472397,"AHY2482","2015-07-30",40,"JEEP",11710,35610,35630,"0112P","665","WH",7,"Amsterdam Ave",NA,"665 Amsterdam Ave New York, NY",40.7917717,-73.9717285
"40099",7082721,7971595797,"49051MA","2016-02-22",46,"FORD",10210,18370,18390,"1031A","1201","WH",2,"3rd Ave",NA,"1201 3rd Ave New York, NY",40.768116,-73.9614492
"40100",5010535,7662311119,"T649726C","2015-12-06",46,"TOYOT",18820,10010,10795,"1015A","408","BK",12,"E 92nd St",NA,"408 E 92nd St New York, NY",40.7803691,-73.9463048
"40101",5794611,7181084513,"GDU1438","2016-01-18",71,"ME/BE",13610,17390,17410,"1155A","907","BL",1,"Broadway",NA,"907 Broadway New York, NY",40.7395515,-73.9898636
"40102",4514342,7777150303,"T676682C","2015-11-18",40,"TOYOT",0,0,0,"0650A","N","BK",11,"E 179th St20ft W/of Mohegan Av",NA,"N E 179th St New York, NY",40.8474731,-73.8913376
"40103",2483840,7761517058,"GBC3972","2015-08-31",51,"NISSA",53490,53790,19990,"1048A","10418","GY",8,"Lefferts Blvd",NA,"10418 Lefferts Blvd New York, NY",40.685591,-73.824194
"40104",985463,8034751959,"GJP3546","2015-09-24",74,"BMW",0,0,0,"0940A","E","BLACK",9,"Pearsall Ave40ft S/of E Gun Hill",NA,"E Pearsall Ave New York, NY",40.8653985,-73.8519585
"40105",6862111,4616010869,"DAW5737","2016-02-04",36,"CADIL",0,0,0,"1148A","","BK",2,"WB E 135TH ST "," ALEXANDER AVE"," WB E 135TH ST @ ALEX New York, NY",40.7127837,-74.0059413
"40106",10110631,1410458908,"AEM4174","2016-06-06",21,"HONDA",40930,12380,14180,"0325A","1909","SILVE",6,"FLATBUSH AVE",NA,"1909 FLATBUSH AVE New York, NY",40.6232709,-73.9372396
"40107",4097162,1398947600,"FST1307","2015-10-20",21,"HONDA",58130,23230,23930,"0931A","954","WHITE",10,"MADISON STREET",NA,"954 MADISON STREET New York, NY",40.688442,-73.919272
"40108",4884209,4614230945,"T665661C","2015-12-10",36,"TOYOT",0,0,0,"1011A","","WH",12,"WB THOMSN AVE. 32 PL- SKILLMN AV",NA," WB THOMSN AVE. 32 PL New York, NY",40.7427691,-73.933012
"40109",7279550,4617046380,"HBR4206","2016-03-07",36,"DODGE",0,0,0,"0138P","","BL",3,"SB MCGUINNES BV. CALYER ST - DRIGGS AV",NA," SB MCGUINNES BV. CAL New York, NY",40.7127837,-74.0059413
"40110",9133533,8219513895,"86624MG","2016-04-11",14,"ME/BE",16890,8790,61090,"0251P","37-01","WHITE",4,"82nd St",NA,"37-01 82nd St New York, NY",40.7784947,-73.961521
"40111",9363285,7538797099,"GZP3925","2016-05-06",19,"LEXUS",14180,67030,36180,"1210P","3010","BK",5,"Avenue L",NA,"3010 Avenue L New York, NY",40.6218622,-73.9455519
"40112",7039589,7793950859,"83498MH","2016-02-09",14,"FRUEH",57790,59590,54580,"1203P","135-11","BROWN",2,"Northern Blvd",NA,"135-11 Northern Blvd New York, NY",40.763217,-73.832838
"40113",2244741,8041755240,"FZE2215","2015-08-26",21,"TOYOT",13610,0,0,"0851A","W","GY",8,"Broadway30ft S/of W 117th St",NA,"W Broadway New York, NY",40.7200676,-74.0056487
"40114",4721851,8043625475,"QSR813","2015-11-03",37,"TOYOT",22740,11640,36400,"0108P","56-35","TN",11,"141st St",NA,"56-35 141st St New York, NY",40.746774,-73.823992
"40115",2907450,5088772300,"GXF9131","2015-10-07",7,"BMW",0,0,0,"0139P","","BK",10,"FLATBUSH AVE (N/B) ","BERGEN ST"," FLATBUSH AVE (N/B) @ New York, NY",40.6185782,-73.9324701
